csat_id,grade
1246303529280024576,0
1246303652009553920,0
1246303773685555200,0
1246305060664143872,0
1246305107640348672,3
1246305242457862144,3
1246305575615135744,0
1246305722942959616,1
1246306051291013120,0
1246306084586024960,1
1246306283307466752,0
1246306438627811328,3
1246306582662033408,0
1246306718210654208,0
1246306884676329472,0
1246307058282766336,0
1246307188515905536,0
1246307267878248448,2
1246307296985559040,0
1246307420869820416,3
1246307538165669888,0
1246307589777338368,3
1246307765986029568,2
1246308110099898368,0
1246308157262475264,3
1246308491011633152,3
1246308790079389696,0
1246309166562254848,0
1246309610629996544,3
1246309879786872832,0
1246309905856389120,0
1246310594888888320,2
1246310617449422848,0
1246310674022821888,0
1246310681502916608,0
1246310755639296000,0
1246310817903738880,0
1246310927601565696,0
1246311040909389824,0
1246311059541786624,0
1246311464631861248,0
1246311501686480896,1
1246312195389743104,3
1246312522441662464,0
1246313366942736384,3
1246313456881197056,0
1246313567235158016,0
1246313567240650752,3
1246313567245332480,0
1246313662768062464,0
1246313732136005632,0
1246313754507935744,2
1246313857061564416,0
1246314606514171904,2
1246314700241739776,0
1246314940662374400,3
1246315087010029568,3
1246315175163539456,0
1246315486772264960,0
1246315538543632384,3
1246315571583987712,3
1246315661692592128,0
1246315727776833536,3
1246315953133219840,0
1246315973534900224,1
1246316322151653376,3
1246317018377383936,0
1246317598420852736,0
1246317969183531008,0
1246318110489772032,3
1246318129202700288,3
1246318517822500864,0
1246318785344897024,3
1246319566224125952,0
1246319589120344064,0
1246319654645899264,0
1246319738538090496,0
1246319810195857408,3
1246319902693601280,3
1246319981015625728,3
1246320057194225664,0
1246320079740665856,3
1246320165225848832,2
1246320213350707200,0
1246320368485429248,0
1246321800030744576,0
1246321848036962304,0
1246321909029773312,1
1246322341032558592,0
1246322824422387712,0
1246323164312006656,0
1246323882299568128,3
1246324366351609856,3
1246324916405219328,1
1246325022133411840,0
1246325565678526464,0
1246326024252088320,0
1246326116493221888,3
1246326137863200768,3
1246326140576915456,3
1246326231206277120,3
1246326237326925824,2
1246326378901463040,0
1246326487226593280,0
1246326520567115776,0
1246326611644604416,2
1246326716121587712,3
1246326856595079168,3
1246326967509741568,0
1246326967518130176,0
1246326967518715904,0
1246326979709186048,0
1246327000049737728,0
1246327144802344960,3
1246327159562100736,0
1246327262297522176,3
1246327472465707008,0
1246327593033113600,3
1246327860073922560,0
1246327883557830656,3
1246327906538422272,0
1246328050076381184,3
1246328171970617344,0
1246328190296743936,3
1246328200022749184,0
1246328200030650368,0
1246328279123714048,0
1246328384295886848,2
1246328536514981888,3
1246328684121513984,0
1246328819244138496,3
1246329186589532160,3
1246329272670445568,0
1246329289279303680,3
1246329542687154176,3
1246329767092629504,3
1246329926211940352,3
1246330010215460864,2
1246330015530942464,0
1246330061429071872,0
1246330151921319936,0
1246330296585003008,3
1246330462681985024,0
1246330563785682944,1
1246330661320613888,0
1246330781494738944,0
1246330842029072384,0
1246330869347332096,3
1246330935958859776,3
1246331048160198656,3
1246331088547151872,2
1246331277278736384,1
1246331467119538176,3
1246331467329253376,0
1246331489149321216,0
1246331528837963776,0
1246331791685541888,0
1246332009329799168,0
1246332029101748224,0
1246332058131685376,3
1246332272349650944,0
1246332345811234816,0
1246332594837860352,0
1246332700464803840,3
1246332836158300160,0
