Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning],What is your expectation from attending this class?,What is your best favorite category to purchase online?,What is your second favorite category to purchase online?,What is you third favorite category to purchase online?
7/2/2020 22:40:25,Ms.,21,Singapore,Have studied,No Background,I hope to learn how python is applied in data science,Food & Beverages,Mobile & Gadgets,Women's Apparel
7/2/2020 22:41:34,Ms.,23,Singapore,Have studied,No Background,Learn python,Beauty & Personal Care,Mobile & Gadgets,Video Games
7/2/2020 22:42:05,Ms.,20,Singapore,Have studied,No Background,Learn more about python and its usage in the area of Data science.,Beauty & Personal Care,Hobbies & Books,Women's Apparel
7/2/2020 22:42:12,Mr.,46,Thailand,Have used in a project,Have studied,Learn more about Data Science,Computers & Peripherals,Hobbies & Books,Mobile & Gadgets
7/2/2020 22:42:13,Mr.,25,Indonesia,No Background,No Background,Can do programming in python,Men's Wear,Mobile & Gadgets,Computers & Peripherals
7/2/2020 22:42:23,Mr.,23,Thailand,Have studied,Have studied,Gain technical know-how on using libraries like scikit learn or others to create machine learning models.,Watches,Computers & Peripherals,Men's Wear
7/2/2020 22:43:27,Mr.,22,Philippines,Have studied,No Background,Nothing,Hobbies & Books,Men's Wear,Watches
7/2/2020 22:44:50,Mr.,25,Thailand,Have used in a project,Have used in a project,Learn  and practice new knowledge,Men's Wear,Computers & Peripherals,Mobile & Gadgets
7/2/2020 22:45:06,Mr.,20,Indonesia,Have studied,No Background,get to kow python data science better,Computers & Peripherals,Mobile & Gadgets,Beauty & Personal Care
7/2/2020 22:45:27,Mr.,32,Taiwai,Have used in a project,Have used in a project,"Something new, especially for ML usage",Computers & Peripherals,Hobbies & Books,Mobile & Gadgets
7/2/2020 22:46:52,Mr.,24,Singapore,Have used in a project,Have used in a project,As a revision for python syntax,Computers & Peripherals,Mobile & Gadgets,Video Games
7/2/2020 22:47:39,Ms.,21,Malaysia,No Background,No Background,Learn and develop something new,Mobile & Gadgets,Hobbies & Books,Beauty & Personal Care
7/2/2020 22:48:08,Ms.,20,Singapore,Have studied,No Background,"Learn things useful for class, easy to follow",Women's Apparel,Jewellery & Accessories,Hobbies & Books
7/2/2020 22:48:10,Ms.,20,Indonesia,Have used in a project,No Background,Knowledge,Hobbies & Books,Food & Beverages,Mobile & Gadgets
